schema_ver,timestamp,fps,yolo_ms,vis_ms,speed_pwm,steer_angle,nav_state,traffic_state,x_est,y_est,yaw_est,imu_yaw_raw,nearest_node,curvature,estop
2,1771967595.0977,0.0,2.5,184.9,20.0,0.0,PILOTING,SYS_GO,15.45,10.88,0.0,0.0,338,0.0,0
2,1771967595.3031,1.1,2.0,19.4,20.0,0.0,PILOTING,SYS_GO,15.4711,10.88,0.0,0.0,338,0.0,0
2,1771967595.3488,9.9,1.3,25.0,20.0,0.0,PILOTING,SYS_GO,15.4735,10.88,0.0,0.0,338,0.0,0
2,1771967595.3975,15.5,4.6,44.2,20.0,0.0,PILOTING,SYS_GO,15.4765,10.88,0.0,0.0,338,0.0,0
2,1771967595.4557,16.1,18.3,10.3,20.0,0.0,PILOTING,SYS_GO,15.4825,10.88,0.0,0.0,338,0.0,0
2,1771967595.5022,19.7,0.0,10.2,20.0,0.0,PILOTING,SYS_GO,15.4858,10.88,0.0,0.0,338,0.0,0
2,1771967595.5474,35.4,0.0,25.6,20.0,0.0,PILOTING,SYS_GO,15.487,10.88,0.0,0.0,338,0.0,0
2,1771967595.5992,35.8,2.4,33.9,20.0,0.0,PILOTING,SYS_GO,15.49,10.88,0.0,0.0,338,0.0,0
2,1771967595.6417,34.1,0.0,14.6,20.0,0.0,PILOTING,SYS_GO,15.494,10.88,0.0,0.0,338,0.0,0
2,1771967595.6923,40.1,2.5,35.4,20.0,0.0,PILOTING,SYS_GO,15.4958,10.88,0.0,0.0,338,0.0,0
2,1771967595.7355,37.3,2.5,78.8,20.0,0.0,PILOTING,SYS_GO,15.5001,10.88,0.0,0.0,338,0.0,0
2,1771967595.8383,32.1,0.0,15.3,20.0,0.0,PILOTING,SYS_GO,15.5099,10.88,0.0,0.0,338,0.0,0
2,1771967595.8888,37.9,10.5,39.0,20.0,0.0,PILOTING,SYS_GO,15.5117,10.88,0.0,0.0,338,0.0,0
2,1771967595.9568,34.4,12.2,28.6,20.0,0.0,PILOTING,SYS_GO,15.5173,10.88,0.0,0.0,338,0.0,0
2,1771967596.0203,31.6,0.0,13.3,20.0,0.0,PILOTING,SYS_GO,15.5228,10.88,0.0,0.0,338,0.0,0
2,1771967596.0663,40.3,12.7,52.4,20.0,0.0,PILOTING,SYS_GO,15.5243,10.88,0.0,0.0,338,0.0,0
2,1771967596.1406,35.3,1.5,10.3,20.0,0.0,PILOTING,SYS_GO,15.5316,10.88,0.0,0.0,338,0.0,0
2,1771967596.1875,43.1,0.0,31.7,20.0,0.0,PILOTING,SYS_GO,15.5331,10.88,0.0,0.0,338,0.0,0
2,1771967596.2382,40.0,0.5,34.0,20.0,0.0,PILOTING,SYS_GO,15.5371,10.88,0.0,0.0,338,0.0,0
2,1771967596.2942,36.8,4.7,9.6,20.0,0.0,PILOTING,SYS_GO,15.5418,10.88,0.0,0.0,338,0.0,0
2,1771967596.3402,39.0,0.0,18.0,20.0,0.0,PILOTING,SYS_GO,15.5442,10.88,0.0,0.0,338,0.0,0
2,1771967596.3881,42.3,2.8,45.4,20.0,0.0,PILOTING,SYS_GO,15.5462,10.88,0.0,0.0,338,0.0,0
2,1771967596.4454,37.5,0.0,11.7,20.0,0.0,PILOTING,SYS_GO,15.5524,10.88,0.0,0.0,338,0.0,0
2,1771967596.4929,47.1,1.6,45.9,20.0,0.0,PILOTING,SYS_GO,15.5537,10.88,0.0,0.0,338,0.0,0
