epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.231,2.62876,3.93662,2.12955,0.002,0.49691,0.04777,0.0151,3.21174,3.78256,2.57092,4.287e-05,4.287e-05,4.287e-05
2,4.41322,2.5099,3.98839,2.21027,0.00216,0.54012,0.055,0.01596,2.94453,3.67442,2.26615,9.90397e-05,9.90397e-05,9.90397e-05
3,5.66702,2.3665,3.93672,1.97689,0.00299,0.70679,0.15228,0.0604,2.35813,3.53238,1.83215,0.000154078,0.000154078,0.000154078
4,6.78586,2.04806,3.32398,1.70633,0.00307,0.74383,0.20279,0.08586,1.98116,3.45445,1.59983,0.000207984,0.000207984,0.000207984
5,7.9896,1.81194,3.21975,1.64657,0.00365,0.82407,0.22191,0.08203,1.93471,3.43314,1.57665,0.000260758,0.000260758,0.000260758
6,9.13568,1.89325,3.01491,1.57897,0.00394,0.82407,0.2386,0.0861,1.97334,3.39882,1.56661,0.000312401,0.000312401,0.000312401
7,10.2811,1.98415,2.8119,1.53036,0.00441,0.84259,0.25999,0.10518,1.97744,3.29235,1.4749,0.000362912,0.000362912,0.000362912
8,11.352,1.76221,2.45996,1.49356,0.00519,0.84259,0.22056,0.1011,1.83568,3.27152,1.44385,0.000412291,0.000412291,0.000412291
9,12.5454,1.84777,2.46764,1.52265,0.0054,0.84259,0.22884,0.09121,1.83424,3.35561,1.5159,0.000460538,0.000460538,0.000460538
10,13.5718,1.64279,2.57758,1.4142,0.00529,0.82407,0.24197,0.093,1.85242,3.41219,1.58054,0.000507654,0.000507654,0.000507654
11,14.6141,1.63484,2.38912,1.49552,0.00517,0.80556,0.20024,0.07431,1.86616,3.40964,1.58891,0.000553637,0.000553637,0.000553637
12,15.6171,1.58945,2.2258,1.34763,0.00511,0.8642,0.2298,0.10762,1.84856,3.2323,1.49661,0.000598489,0.000598489,0.000598489
13,16.7082,1.63806,2.41738,1.42882,0.00467,0.91358,0.21667,0.11277,1.80344,3.16538,1.4728,0.00064221,0.00064221,0.00064221
14,17.8184,1.81299,2.32958,1.55042,0.81334,0.16358,0.23389,0.10403,1.88117,3.13844,1.55841,0.000684798,0.000684798,0.000684798
