epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,230.466,1.29626,10.5206,0.00667,0.58191,0.28546,0.28187,0.21217,1.01069,2.56894,0.00594,0.000174646,0.000174646,0.000174646
2,379.977,1.17316,6.91957,0.00548,0.54495,0.56527,0.57797,0.4392,1.00077,1.6571,0.00581,0.000315331,0.000315331,0.000315331
3,468.589,1.12763,4.3639,0.00528,0.61292,0.67653,0.68873,0.5303,0.93509,1.42691,0.00577,0.000421301,0.000421301,0.000421301
4,610.104,1.0933,2.74229,0.00519,0.70012,0.70449,0.77095,0.60786,0.91203,1.25292,0.00559,0.000369778,0.000369778,0.000369778
5,847.076,1.03137,1.9189,0.0047,0.74744,0.75813,0.80753,0.6395,0.82922,1.21958,0.00488,0.000317704,0.000317704,0.000317704
6,1077.14,0.97146,1.56107,0.00434,0.8006,0.74915,0.84278,0.67919,0.79712,1.10765,0.00478,0.00026563,0.00026563,0.00026563
7,1272.73,0.92605,1.31439,0.00419,0.7128,0.81698,0.83451,0.67536,0.78118,1.1302,0.00452,0.000213556,0.000213556,0.000213556
8,1493.5,0.89547,1.17044,0.00391,0.77779,0.79135,0.85159,0.6979,0.7593,1.07048,0.00436,0.000161482,0.000161482,0.000161482
9,1710.16,0.87068,1.09276,0.00366,0.78675,0.78927,0.85933,0.7017,0.77037,1.02441,0.00435,0.000109408,0.000109408,0.000109408
10,1929.12,0.83063,1.0357,0.00341,0.79847,0.76847,0.8592,0.71617,0.72676,1.03308,0.00404,5.7334e-05,5.7334e-05,5.7334e-05
